Business Sector,EN,AR,CHN,FR,JP,ESP,TRK
Corporate,1900,9817,6909,10528,11156,11276,7117
Health,16660,77217,77287,77288,77289,77290,77291
Transportation,167,627,1984,2212,11159,11279,2604
Transportation,164,631,2130,2260,11160,11280,2620
Passenger Vehicle,169,630,2106,2226,11161,11281,2654
Commercial Vehicles and Equipment,1057,1078,1994,2223,11162,822,2644
Logistics,1064,1071,1989,2220,11163,11283,2635
Expanded Vehicle Services,3296,6129,6977,8575,11164,11284,7148
Engineering and Manufacturing,176,637,7010,2606,11170,11299,7171
Financial Services,178,639,7013,2609,11171,11300,7174
Land and Real Estate,180,641,7020,8588,11309,11310,7178
Land and Real Estate,182,647,7023,8593,11176,11311,7181
Energy and Environmental Services,193,599,7056,8613,11186,11323,7209
Energy and Environmental Services,195,657,7058,8616,11187,11324,7211
Solar Power Solutions,198,656,7065,8622,11188,11325,7218
Wind Power Solutions,200,655,7071,8619,11189,11326,7225
Water and Environmental Solutions,202,654,7077,8625,11190,11327,7230
Consumer Products,207,597,7082,8628,11191,11328,7235
Advertising and Media,209,595,7087,8631,11192,11329,7239
