ID,Title,Content,"Image Featured",Status,Date,Slug,wpcf-downloadable-image,our_people_title,"Bio Image",related_slider_title,related_slider_media_type,related_slider_image,related_slider_video,_wpml_import_language_code,_wpml_import_source_language_code,_wpml_import_translation_group
45017,"Faisal Alsamannoudi","Faisal Alsamannoudi 现任 <a href=""https://alj-enterprises.com"" target=""_blank"" rel=""noopener"">Abdul Latif Jameel Enterprises</a>（安利捷的旗下企业）主席，已故的 <a href=""https://alj.com"" target=""_blank"" rel=""noopener"">Abdul Latif Jameel</a> 先生于 1945 年创办了这家国际化、家族式、多元化经营的公司。Alsamannoudi 先生在沙特阿拉伯领导与安利捷汽车总代理核心业务相关的业务，包括油和润滑油、保险、碰撞与维修解决方案、汽车精品配件，以及正在进行的向物流、媒体、娱乐、技术和医疗保健领域的扩展。

在担任当前职务之前，Alsamannoudi 先生曾在 Abdul Latif Jameel 和日本的丰田汽车公司担任过许多职务。

Alsamannoudi 先生在沙特几家涉足房地产、技术和安全领域的领先公司的多个董事会任职。他热衷于社区服务，担任安利捷收容庇护所计划 <a href=""https://communityjameel.org"" target=""_blank"" rel=""noopener"">Community Jameel</a> 的副主席，以及 Hayat 慈善基金会的副主席。此外，Alsamannoudi 先生也是非政府组织 AlMawaddah 的创始人和主席，该组织致力于家庭发展项目和社区营造，屡获殊荣。他担任宗教基金管理局(沙特阿拉伯)董事一职。

Faisal Alsamannoudi 先生拥有利雅得沙特阿拉伯国王大学工业工程学位，并获得了法国欧洲工商管理学院的全球管理证书。

安利捷成立于 1945 年，是一家全球投资者和多元化经营的私人家族式企业，于 2020 年庆祝其成立<a href=""https://jameel75.com/""> 75 周年</a>。安利捷经营涉及主要行业领域，旨在积极塑造推动全球经济的核心产业的未来。这些领域包括投资、交通出行、金融服务、能源与环境服务、健康，以及从消费品和房地产开发到专业服务等一系列多元化经营的业务。

公司在全球各地设有公司代表处，业务遍及六大洲 35 多个国家/地区，拥有来自 65 多个国家/地区约 11,000 名员工。",https://media.alj.com/app/uploads/2019/07/FS_371x480-1.jpg,publish,"2019-07-31 09:51:40",faisal-alsamannoudi,https://media.alj.com/app/uploads/2019/07/FS_Print-1.jpg,"<p>主席</p>
<p>Abdul Latif Jameel Enterprises（安利捷的旗下企业）</p>
",,"slide 45129",image,https://media.alj.com/app/uploads/2019/07/Abdul-Latif-Jameel-Enterprises.jpg,,zh-hans,en,93619
45039,"Faisal Alsamannoudi","Faisal Alsamannoudi est le président d’Abdul Latif Jameel Enterprises, faisant partie d’Abdul Latif Jameel, une entreprise familiale et diversifiée internationale, fondée en 1945 par feu Abdul Latif Jameel. M. Alsamannoudi dirige les activités d'Abdul Latif Jameel en Arabie saoudite dans les secteurs adjacents à l’une de ses activités principales, à savoir la distribution automobile, ceci incluant les huiles et les lubrifiants, les solutions d'assurance, d’accidents et de réparation et les accessoires automobiles, ainsi que l'expansion continue dans les secteurs de la logistique, des médias, du divertissement, de la technologie et de la santé.

Avant d’occuper son rôle actuel, M. Alsamannoudi a occupé divers postes au sein d’Abdul Latif Jameel, ainsi que chez Toyota Motor Corporation au Japon.

Alsamannoudi siège à plusieurs conseils d'administration de grandes sociétés saoudiennes actives dans les secteurs de l'immobilier, de la technologie et de la sécurité. Passionné par le service communautaire, il est le vice-président de Community Jameel Charity, le programme d'hébergement d'Abdul Latif Jameel et le vice-président de Hayat Charitable Foundation. De plus, M. Alsamannoudi est le fondateur et président d'AlMawaddah, une ONG primée spécialisée dans les programmes de développement familial et l'autonomisation des communautés. <em>Il était </em>membre du conseil d'administration de l'Autorité Générale de Dotation (General Authority of Endowment) en Arabie Saoudite et membre du conseil d’administration du Centre national pour le développement du secteur à but non lucratif.

Faisal Alsamannoudi est titulaire d'un diplôme en génie industriel de l'Université King Saud et d'un diplôme en gestion mondiale de l'INSEAD en France.

Fondée en 1945, Abdul Latif Jameel est une entreprise familiale privée et diversifiée et un investisseur mondial qui a célébré son <a href=""https://jameel75.com/"">75e anniversaire</a> en 2020. Abdul Latif Jameel œuvre dans les principaux secteurs industriels en vue de façonner favorablement l’avenir des principales industries qui stimulent l’économie mondiale. Elle investit notamment dans les secteurs de la mobilité, des services financiers, de l’énergie et des services environnementaux, de la santé, ainsi que dans diverses autres opérations allant des produits de consommation aux services professionnels en passant par le développement immobilier.

Possédant des bureaux de représentation dans le monde entier, l’entreprise bénéficie d’une présence opérationnelle dans plus de 35 pays sur six continents et emploie quelque 11 000 personnes de plus de 65 nationalités.",https://media.alj.com/app/uploads/2019/07/FS_371x480-1.jpg,publish,"2019-07-31 09:51:52",faisal-alsamannoudi,https://media.alj.com/app/uploads/2019/07/FS_Print-1.jpg,"<p>Président</p>
<p>Abdul Latif Jameel Enterprises</p>
",,"slide 45131",image,https://media.alj.com/app/uploads/2019/07/Abdul-Latif-Jameel-Enterprises.jpg,,fr,en,93619
45061,ファイサル・アルサマヌーディー,"ファイサル・アルサマヌーディーは、故アブドゥル・ラティフ・ジャミールが1945年に設立したグローバル企業<a href=""https://alj.com/"">Abdul Latif Jameel（アブドゥル・ラティフ・ジャミール）</a>の一部門である<a href=""https://alj-enterprises.com/?"">アブドゥル・ラティフ・ジャミール・エンタープライズ</a>の会長。

アルサマンノウディ氏は、現在の役職に就く以前は、アブドゥル・ラティフ・ジャミール社内および日本のトヨタ自動車株式会社で数多くの役職を務めました。

アルサマンノウディ氏は、不動産、技術、および証券分野に携わっているサウジアラビアの大手企業数社の取締役を務めています。彼はまた、コミュニティ・ジャミール・チャリティーの副会長、アブドゥル・ラティフ・ジャミールのシェルターホーム・プログラム、ヘイアット慈善財団の副会長として、コミュニティ・サービスに情熱を傾けています。さらに、アルサマンノウディ氏は、家族育成プログラムとコミュニティのエンパワーメントに焦点を当てた受賞歴のあるNGO、アルマワダの創設者兼会長です。彼はイスラム問題と寄付の一般的権限組織（サウジアラビア）の理事です。

ファイサル・アルサマンノウディ氏は、キング・サウード大学で生産工学の学位を、フランスのINSEADでグローバルマネジメントの証書を取得しています。

1945年に創業し、2020年に<a href=""https://jameel75.com/"">75周年</a>を迎えたAbdul Latif Jameelは、多岐にわたる事業を展開する民間グローバル投資家です。世界経済を牽引する基幹産業の未来の創造を目指し、主要産業でさまざまな取り組みを実施しています。こうした取り組みの例としては、モビリティ、金融サービス、エネルギー環境サービス、医療分野への投資をはじめ、消費者向け製品や不動産開発、専門サービスなどの多角的な事業が挙げられます。

6大陸35か国以上で事業を展開し、世界中に代表事務所を構えるAbdul Latif Jameelは、11,000名に上る従業員を擁しており、従業員の国籍は65か国以上に及びます。",https://media.alj.com/app/uploads/2019/07/FS_371x480-1.jpg,publish,"2019-07-31 09:52:01",faisal-alsamannoudi,https://media.alj.com/app/uploads/2019/07/FS_Print-1.jpg,"<p>会長</p>
<p>アブドゥル・ラティフ・ジャミール・エンタープライズ</p>
",,"slide 45133",image,https://media.alj.com/app/uploads/2019/07/Abdul-Latif-Jameel-Enterprises.jpg,,ja,en,93619
45083,"Faisal Alsamannoudi","Faisal Alsamannoudi es presidente de Abdul Latif Jameel Enterprises, parte de Abdul Latif Jameel, una empresa internacional y diversificada de propiedad familiar, fundada en 1945 por el difunto Abdul Latif Jameel. El Sr. Alsamannoudi está al frente los negocios de Abdul Latif Jameel en Arabia Saudí que son adyacentes a la distribución de automóviles, incluidos aceites y lubricantes, seguros, soluciones para accidentes y reparaciones y accesorios de automoción, así como de la expansión continua en los sectores de logística, medios de comunicación, entretenimiento, tecnología y sanidad.

Antes de dedicarse a su labor actual, el Sr. Alsamannoudi ostentó varios cargos en Abdul Latif Jameel y en Toyota Motor Corporation de Japón.

El Sr. Alsamannoudi es miembro del consejo de administración de varias empresas líderes en Arabia Saudí dedicadas a los sectores de la inmobiliaria, la tecnología y la seguridad. Le apasiona el servicio comunitario, como demuestran sus puestos de vicepresidente en Community Jameel Charity, el programa de casas de acogida de Abdul Latif Jameel, y en Hayat Charitable Foundation. Además, el Sr. Alsamannoudi es fundador y presidente de AlMawaddah, una ONG galardonada que se centra en programas de desarrollo familiar y en el fortalecimiento de la comunidad.  Es miembro de la junta de la Autoridad General de Fondos (Arabia Saudí).

Faisal Alsamannoudi es licenciado en Ingeniería Industrial por la King Saud University y tiene un certificado en gestión global de la INSEAD de Francia.

Fundada en 1945, Abdul Latif Jameel es un inversor global privado de propiedad familiar y una empresa diversificada que celebró su <a href=""https://jameel75.com/"">75.º aniversario</a> en 2020. Abdul Latif Jameel trabaja en los principales sectores industriales con el objetivo de influir positivamente en el futuro de las industrias centrales que impulsan la economía global. Estas incluyen inversiones, movilidad, servicios financieros, energía y servicios medioambientales, salud y una gama diversificada de otras operaciones, desde productos de consumo y desarrollo de propiedades hasta servicios profesionales.

Con oficinas de representación corporativa en todo el mundo, el negocio tiene una presencia operativa en más de 35 países de seis continentes y emplea a unas 11 000 personas de más de 65 nacionalidades.",https://media.alj.com/app/uploads/2019/07/FS_371x480-1.jpg,publish,"2019-07-31 09:52:10",faisal-alsamannoudi,https://media.alj.com/app/uploads/2019/07/FS_Print-1.jpg,"<p>Presidente</p>
<p>Abdul Latif Jameel Enterprises</p>
",,"slide 45132",image,https://media.alj.com/app/uploads/2019/07/Abdul-Latif-Jameel-Enterprises.jpg,,es,en,93619
45105,"Faisal Alsamannoudi","Faisal Alsamannoudi, 1945 yılında merhum Abdul Latif Jameel tarafından kurulmuş, farklı alanlarda faaliyet gösteren, uluslararası aile kökenli bir şirket olan Abdul Latif Jameel'in bir parçası olan Abdul Latif Jameel Enterprises’ın Yönetim Kurulu Başkanı. Alsamannoudi, Abdul Latif Jameel'in Suudi Arabistan'daki petrol ve madeni yağlar, sigorta, çarpışma ve onarım çözümleri ve otomotiv aksesuarlarının yanı sıra lojistik, medya, eğlence, teknoloji ve sağlık sektörlerinde devam eden genişleme gibi ana otomotiv dağıtımı ile alakalı işletmelerine liderlik etmektedir.

Alsamannoudi, mevcut görevini üstlenmeden önce, Japonya’daki Toyota Motor Corporation’ın yanı sıra Abdul Latif Jameel bünyesinde çeşitli görevler yapmıştır.

Alsamannoudi, gayrimenkul, teknoloji ve güvenlik sektörlerinde faaliyet gösteren önde gelen Suudi şirketlerinin yönetim kurullarında görev yapmaktadır. Kendisi, Abdul Latif Jameel'in barınak-evleri programı Community Jameel Hayır Kurumu'nun Başkan Yardımcısı ve Hayat Charitable Foundation Başkan Yardımcısı sıfatıyla toplum hizmeti konusunda tutkuludur. Alsamannoudi, ayrıca, aile geliştirme programları ve toplum güçlendirme üzerine odaklanan ödüllü bir STK olan AlMawaddah'ın Kurucusu ve Yönetim Kurulu Başkanıdır.  Suudi Arabistan Vakıflar Genel Müdürlüğü yönetim kurulu üyesidir.

Faisal Alsamannoudi, King Saud Üniversitesi'nden Endüstri Mühendisliği diplomasına ve Fransa'daki INSEAD'tan global yönetim sertifikasına sahiptir.

1945 yılında kurulmuş, farklı alanlarda faaliyet gösteren, aile kökenli özel bir şirket olan Abdul Latif Jameel; bir küresel yatırımcı olarak 2020 yılında <a href=""https://jameel75.com/"">75. yıl dönümünü</a> kutlamıştır. Abdul Latif Jameel, küresel ekonomiyi yönlendiren temel endüstrilerin geleceğini olumlu biçimde şekillendirmeyi amaçlayan büyük endüstri sektörlerinde faaliyet göstermektedir. Bunların arasında Yatırımlar, Ulaşım, Finansal Hizmetler, Enerji ve Çevre Hizmetleri, Sağlık alanlarının yanı sıra tüketim ürünleri ve gayrimenkul geliştirmeden profesyonel hizmetlere kadar başka çeşitli operasyonlar yer almaktadır.

Dünyanın dört bir yanında bulunan kurumsal temsilcilikleri ile bu işletme, altı kıtadaki 35’un üzerinde ülkede faaliyet göstermekte ve 65’tan fazla milletten yaklaşık 11.000 kişiyi istihdam etmektedir.",https://media.alj.com/app/uploads/2019/07/FS_371x480-1.jpg,publish,"2019-07-31 09:52:19",faisal-alsamannoudi,https://media.alj.com/app/uploads/2019/07/FS_Print-1.jpg,"<p>Yönetim Kurulu Başkanı</p>
<p>Abdul Latif Jameel Enterprises</p>
",,"slide 45127",image,https://media.alj.com/app/uploads/2019/07/Abdul-Latif-Jameel-Enterprises.jpg,,tr,en,93619
45295,"Abdul Wahab M. Tawfik","Abdul Wahab Mohammed Tawfik is Vice President, Corporate Affairs for <a href=""https://www.alj.com/en/"">Abdul Latif Jamee</a>l, an international, family-owned and diversified business, founded in 1945 by the late Abdul Latif Jameel.

Mr. Tawfik is involved in a number of areas across the business, including legal affairs, internal audit, and shareholders’ affairs. He is also a member of the board of Abdul Latif Jameel, helping to support the growth and expansion of the business.

Abdul Wahab Tawfik joined Abdul Latif Jameel in 1986 and has since then held numerous senior positions within the company. Prior to joining, he held various financial and senior management positions in Egypt in both the private and the public sector.

Mr. Tawfik holds a Bachelor of Commerce degree from Alexandria University, Egypt.

Founded in 1945, Abdul Latif Jameel is a private family-owned global investor and diversified business that celebrated its <a href=""https://jameel75.com/"">75th Anniversary</a> in 2020.  Abdul Latif Jameel works across major industry sectors aiming to positively shape the future of core industries driving the global economy.  These include Investments; Mobility; Financial Services; Energy &amp; Environmental Services: Health, and a diversified range of other operations from consumer products and property development to professional services.

With corporate representation offices around the globe, the business has an operational presence in more than 35 countries on six continents and employs more than 11,000 people of over 65 nationalities.",https://media.alj.com/app/uploads/2019/10/abdul-wahab-mohammed-tawfik-371x480.jpg,publish,"2019-07-31 10:36:55",abdul-wahab-tawfik,https://www.alj.com/app/uploads/2019/10/abdul-wahab-mohammed-tawfik-1000x1278.jpg,"<p>Vice President, Corporate Affairs<br />
Abdul Latif Jameel</p>
",,"slide 45449",image,https://www.alj.com/app/uploads/2019/07/alj-in-the-news-msl1-1.jpg,,en,,93689
45317,"عبدالوهاب محمد توفيق","<p dir=""RTL""><span lang=""AR-SA"">يشغل </span><span lang=""AR-SA"">عبدالوهاب محمد توفيق منصب نائب الرئيس لشؤون الشركات في شركة عبد اللطيف جميل الدولية، وهي جزء من عبد اللطيف جميل، مجموعة الشركات العائلية الدولية المستقلة ذات الأنشطة المتنوعة والتي أسسها المغفور له الشيخ عبداللطيف جميل في عام 1945</span><span dir=""LTR"">.</span></p>
يتولى عبدالوهاب توفيق مهام تنفيذية في عدة أقسام في الشركة منها الشؤون القانونية، والتدقيق الداخلي، وشؤون المساهمين، وهو كذلك عضو في مجلس إدارة عبد اللطيف جميل، ويساعد في دعم نمو وتوسع الأعمال.

شغل عبدالوهاب توفيق عدة مناصب إدارية ومالية في مصر في القطاعين العام والخاص قبل انضامه إلى عبد اللطيف جميل في العام 1986، وتولى منذ ذلك الحين العديد من المناصب العليا داخل الشركة.

يحمل عبدالوهاب توفيق درجة البكالوريوس في التجارة من جامعة الإسكندرية، مصر.

تأسست شركة عبد اللطيف جميل عام 1945، واحتفلت بالذكرى السنوية الخامسة والسبعين لتأسيسها في 2020،  وتعد اليوم واحدة من أبرز شركات الاستثمار العائلية العالمية في مجموعة متنوعة من الأنشطة والأعمال حول العالم، إذ تمتد أنشطتها إلى قطاعات عديدة ومتنوعة تستهدف منها المساهمة في تشكيل مستقبل الصناعات الأساسية التي تقود الاقتصاد العالمي بشكل إيجابي. وتشمل هذه الاستثمارات قطاع النقل والتنقل، والخدمات المالية، والطاقة، والخدمات البيئية، والصحة، إلى جانب أنشطة أخرى متنوعة في قطاع المنتجات الاستهلاكية، والتطوير العقاري والخدمات المهنية.

ولدى الشركة مكاتب تمثيلية في جميع أنحاء العالم، وتتمتع بحضور تشغيلي راسخ في أكثر من 35 دولة في ست قارات وتوظف أكثر من 11,000 موظف من أكثر من 65 جنسية.",https://media.alj.com/app/uploads/2019/10/abdul-wahab-mohammed-tawfik-371x480.jpg,publish,"2019-07-31 10:37:02",abdul-wahab-tawfik,https://www.alj.com/app/uploads/2019/10/abdul-wahab-mohammed-tawfik-1000x1278.jpg,"<p>مدير عام شؤون الشركات</p>
<p>عبد اللطيف جميل</p>
",,"slide 45450",image,https://www.alj.com/app/uploads/2019/07/alj-in-the-news-msl1-1.jpg,,ar,en,93689
45339,"Abdul Wahab M. Tawfik","Abdul Wahab Mohammed Tawfik 为 Abdul Latif Jameel International 的公司事务总经理。该公司为 Abdul Latif Jameel 公司旗下企业之一，由已故 Abdul Latif Jameel 于 1945 年创立，包括一系列国际化、家族式、多元化经营的独立业务。

Tawfik 先生负责整个企业众多领域的事务，其中包括法律事务、内部审计和股东事务。他也是 Abdul Latif Jameel 董事会成员，帮助支持企业的发展和扩张。

自 1986 年加入 Abdul Latif Jameel 后，他一直担任公司许多高级职务。而在加入 Abdul Latif Jameel 之前，他曾在埃及的私人和公共部门担任过众多财务和高级管理职务。

Tawfik 先生拥有埃及亚历山大大学商学士学位。

安利捷成立于 1945 年，是一家全球投资者和多元化经营的私人家族式企业，于 2020 年庆祝其成立<a href=""https://jameel75.com/""> 75 周年</a>。安利捷经营涉及主要行业领域，旨在积极塑造推动全球经济的核心产业的未来。这些领域包括投资、交通出行、金融服务、能源与环境服务、健康，以及从消费品和房地产开发到专业服务等一系列多元化经营的业务。

公司在全球各地设有公司代表处，业务遍及六大洲 35 多个国家/地区，拥有来自 65 多个国家/地区约 11,000 名员工。",https://media.alj.com/app/uploads/2019/10/abdul-wahab-mohammed-tawfik-371x480.jpg,publish,"2019-07-31 10:37:10",abdul-wahab-tawfik,https://www.alj.com/app/uploads/2019/10/abdul-wahab-mohammed-tawfik-1000x1278.jpg,"<p>事务总经理</p>
<p>Abdul Latif Jameel</p>
",,"slide 45451",image,https://www.alj.com/app/uploads/2019/07/alj-in-the-news-msl1-1.jpg,,zh-hans,en,93689
45361,"Abdul Wahab M. Tawfik","Abdul Wahab Mohammed Tawfik est vice-président, affaires corporatives d’Abdul Latif Jameel International, qui fait partie d’Abdul Latif Jameel, un collectif international d’entreprises indépendantes, familiales et diversifiées, fondé en 1945 par le défunt Abdul Latif Jameel.

M. Tawfik est impliqué dans divers domaines à travers l’entreprise, incluant les affaires juridiques, les audits internes et les affaires relatives aux actionnaires. Il est également membre du conseil d’Abdul Latif Jameel, contribuant à soutenir la croissance et le développement de l’entreprise.

Abdul Wahab Tawfik a rejoint Abdul Latif Jameel en 1986, et a occupé depuis de nombreux postes de direction au sein de l’entreprise. Avant de rejoindre l’entreprise, il a occupé divers postes de finances et de gestion en Égypte, dans le secteur privé comme dans le secteur public.

M. Tawfik est titulaire d’une licence en commerce de l’université d’Alexandrie, en Égypte.

Fondée en 1945, Abdul Latif Jameel est une entreprise familiale privée et diversifiée et un investisseur mondial qui a célébré son <a href=""https://jameel75.com/"">75e anniversaire</a> en 2020. Abdul Latif Jameel œuvre dans les principaux secteurs industriels en vue de façonner favorablement l’avenir des principales industries qui stimulent l’économie mondiale. Elle investit notamment dans les secteurs de la mobilité, des services financiers, de l’énergie et des services environnementaux, de la santé, ainsi que dans diverses autres opérations allant des produits de consommation aux services professionnels en passant par le développement immobilier.

Possédant des bureaux de représentation dans le monde entier, l’entreprise bénéficie d’une présence opérationnelle dans plus de 35 pays sur six continents et emploie quelque 11 000 personnes de plus de 65 nationalités.",https://media.alj.com/app/uploads/2019/10/abdul-wahab-mohammed-tawfik-371x480.jpg,publish,"2019-07-31 10:37:17",abdul-wahab-tawfik,https://www.alj.com/app/uploads/2019/10/abdul-wahab-mohammed-tawfik-1000x1278.jpg,"<p>Directeur général, Affaires de l’entreprise</p>
<p>Abdul Latif Jameel</p>
",,"slide 45452",image,https://www.alj.com/app/uploads/2019/07/alj-in-the-news-msl1-1.jpg,,fr,en,93689
45383,アブドゥル・ワハブ・モハメド・タウフィク,"アブドゥル・ワハブ・モハメド・タウフィクは、Abdul Latif Jameel Internationalのコーポレート・アフェア担当のマネージング・ディレクターです。同社は、1945年に故アブドゥル・ラティフ・ジャミールによって設立された、独立系の国際的な、家族所有の多角的な事業群からなるAbdul Latif Jameelの一員です。

タウフィクは、法務、内部監査、および株主事務をはじめとする事業全体のさまざまな領域に携わっています。

Abdul Latif Jameelに入社した1986年以降、同社で多数の上級職を歴任してきました。入社前は、エジプトで民間部門と公共部門のさまざまな財務管理および上級管理職を歴任しました。

エジプトのアレクサンドリア大学で商学士号を取得しています。

1945年に創業し、2020年に<a href=""https://jameel75.com/"">75周年</a>を迎えたAbdul Latif Jameelは、多岐にわたる事業を展開する民間グローバル投資家です。世界経済を牽引する基幹産業の未来の創造を目指し、主要産業でさまざまな取り組みを実施しています。こうした取り組みの例としては、モビリティ、金融サービス、エネルギー環境サービス、医療分野への投資をはじめ、消費者向け製品や不動産開発、専門サービスなどの多角的な事業が挙げられます。

6大陸35か国以上で事業を展開し、世界中に代表事務所を構えるAbdul Latif Jameelは、11,000名に上る従業員を擁しており、従業員の国籍は65か国以上に及びます。",https://media.alj.com/app/uploads/2019/10/abdul-wahab-mohammed-tawfik-371x480.jpg,publish,"2019-07-31 10:37:25",abdul-wahab-tawfik,https://www.alj.com/app/uploads/2019/10/abdul-wahab-mohammed-tawfik-1000x1278.jpg,"<p>コーポレート・アフェア担当、マネージング・ディレクター</p>
<p>Abdul Latif Jameel</p>
",,"slide 45453",image,https://www.alj.com/app/uploads/2019/07/alj-in-the-news-msl1-1.jpg,,ja,en,93689
